MGI.ID	pval.protein	pval.mRNA
MGI:107474	0.140493718	0.021761253
MGI:88338	0.782697919	0.010591486
MGI:96617	0.508260236	0.021842356
MGI:104651	0.534795322	0.000168937
MGI:1919519	0.29225343	0.001514104
MGI:2138811	0.063020088	0.003108592
MGI:1917207	0.524311828	0.301159243
MGI:109531	0.636077888	0.304019245
MGI:1914322	0.654430278	0.000169156
MGI:1918963	0.631771628	0.000345828
MGI:106211	0.167166429	0.009154516
MGI:2441841	0.131824212	0.000616301
MGI:2136459	0.325664749	0.086537045
MGI:1929763	0.647666592	0.044550426
MGI:1929760	0.816421519	0.048121772
MGI:2384876	0.603840372	0.003095278
MGI:88354	0.614840725	0.00128476
MGI:88355	0.117649711	0.000100312
MGI:105057	0.731869205	0.15789824
MGI:105491	0.739606168	0.005029187
MGI:88353	0.514119102	0.791259073
MGI:1916812	0.645235164	0.096666473
MGI:101765	0.308346735	0.116822797
MGI:1933126	0.872615816	0.780613138
MGI:1277162	0.371300371	8.34e-07
MGI:1328368	0.079849229	0.348839508
MGI:104565	0.053693581	0.008468572
MGI:1918175	0.606960668	0.001849457
MGI:105388	0.452610497	0.016228083
MGI:105925	0.014055753	1.22e-05
MGI:1332236	0.652191853	0.01054574
MGI:2448759	0.71661405	3.75e-06
MGI:1347245	0.10485023	5.03e-06
MGI:1342295	0.613495637	0.000151564
MGI:1338822	0.585634204	0.005557557
MGI:1920389	0.148275616	0.000480659
MGI:1918348	0.090002719	0.404209798
MGI:3779470	0.020272016	0.238746075
MGI:95420	6.46e-06	0.238746075
MGI:2148202	0.007123379	0.000268343
MGI:95432	0.652444027	0.439987724
MGI:2142687	0.051987206	0.368918924
MGI:2142491	0.029463931	0.024844457
MGI:2443170	0.101157706	0.484051511
MGI:1919611	0.305100459	0.141889464
MGI:102773	0.565144865	0.004791436
MGI:3644960	0.532872045	0.004791436
MGI:1347085	0.492550492	0.451540605
MGI:87931	0.464554323	0.14453994
MGI:1344403	0.804950809	0.571504811
MGI:88385	0.080922731	0.016775949
MGI:105937	0.006952212	0.040397753
MGI:101763	0.140598408	1.01e-05
MGI:97545	0.018507557	3.04e-05
MGI:2146370	0.130975988	0.037514375
MGI:1927237	0.150202197	5.32e-07
MGI:1915428	0.018824517	0.103362308
MGI:1915294	0.38745656	0.162219627
MGI:2143558	0.076193945	0.417057365
MGI:1913325	0.901167612	0.079980857
MGI:1913348	0.36061128	0.093880119
MGI:1344380	0.546015575	0.090958601
MGI:1860776	0.049330093	0.022385221
MGI:106417	0.681991153	0.201425746
MGI:1915288	0.073623743	0.072104551
MGI:1328313	0.922729451	8.18e-05
MGI:892979	0.296921181	0.057118491
MGI:1916192	0.858020072	0.112805909
MGI:1913950	0.546659089	0.000952045
MGI:1922858	0.534772404	0.401601914
MGI:1924209	0.889635834	0.141599352
MGI:1913922	0.148361508	0.004009846
MGI:1917243	0.097654418	9.37e-08
MGI:1914167	0.265127587	1.9e-05
MGI:99484	0.910297318	0.000744716
MGI:1346998	0.240731185	0.00123426
MGI:1922083	0.112468969	1.78e-05
MGI:1914486	0.420980425	0.341562719
MGI:893588	0.247359743	1.05e-05
MGI:1261855	0.735967581	3.67e-05
MGI:1914256	0.690889573	4.31e-05
MGI:101788	0.256315415	0.914991419
MGI:1920234	0.212787097	0.509106665
MGI:2444926	0.78263681	0.140547399
MGI:1923036	0.040452716	0.099439006
MGI:88407	0.559755312	0.003169252
MGI:1923957	0.037155723	0.007498054
MGI:1923749	0.644518204	0.000100651
MGI:2385186	0.903270823	0.0001331
MGI:104540	0.53076953	0.777036207
MGI:1859834	0.237967396	0.001356833
MGI:1923113	0.807582839	0.000744778
MGI:2148924	0.622748122	0.002834749
MGI:1352754	0.793889858	8.57e-05
MGI:2144243	0.000651577	0.016818257
MGI:1928401	0.127607192	4.69e-07
MGI:2136957	0.783198871	3.01e-06
MGI:2442253	0.5029506	0.39854107
MGI:109638	0.210882967	0.73180083
MGI:1100517	0.459984958	0.043280805
MGI:1858213	0.785931137	7.33e-05
MGI:1927155	0.046403787	0.253887855
MGI:1346017	4.33e-09	7.24e-12
MGI:894297	0.416112048	0.05955355
MGI:1921575	0.808816097	0.000189399
MGI:2388633	0.328820608	0.509985916
MGI:88423	5.94e-05	0.087551733
MGI:1916884	0.053434764	0.000579511
MGI:103227	0.012172925	0.100007053
MGI:1337124	0.085693088	0.084177935
MGI:1916824	0.513346508	0.000776031
MGI:1915149	0.452059336	4.37e-05
MGI:1913838	0.46406454	0.058871526
MGI:99830	0.71134138	9.21e-05
MGI:88431	0.187625399	0.674823931
MGI:1913304	0.780622586	8.04e-06
MGI:104979	0.699182519	0.343684278
MGI:105093	0.16231168	0.325685855
MGI:1919244	0.117818071	0.000520509
MGI:2442402	0.177751141	3.84e-07
MGI:1926143	0.551426746	0.003642118
MGI:88437	0.334645184	0.134655666
MGI:1928477	0.054147574	0.003793022
MGI:1919279	0.524269553	0.387138672
MGI:1917505	0.103345494	0.015746494
MGI:1918993	0.460338227	1.05e-05
MGI:105056	0.578109375	0.000370927
MGI:2442894	0.144279559	5.14e-05
MGI:1333873	0.058601569	0.00149268
