Entry	Entry.Name	Gene.Names	Cross-reference	Gene.Names2	Gene.Names3
A0A1Y5IC31	A0A1Y5IC31_OSTTA	BE221DRAFT_206313 BE221DRAFT_208420	KZ155797;KZ155788;		
Q6PYZ2	Q6PYZ2_OSTTA	dbe1 OT_ostta14g02180	AY570705;CAID01000014;		dbe1
A0A1Y5I630	A0A1Y5I630_OSTTA	BE221DRAFT_79371 BE221DRAFT_83087	KZ155827;KZ155826;		
S5M4A5	S5M4A5_OSTTA	OtMtg00120	KC967298;KC967302;KC967304;KC967306;		
A0A1Y5IDT1	A0A1Y5IDT1_OSTTA	BE221DRAFT_191228 BE221DRAFT_195420	KZ155779;KZ155778;		
S5QBQ3	S5QBQ3_OSTTA	rpl16 OtCpg00360	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		rpl16
A0A1Y5HWU3	A0A1Y5HWU3_OSTTA	BE221DRAFT_148265 BE221DRAFT_196634	KZ155840;KZ155797;		
S5MGT0	S5MGT0_OSTTA	OtMtg00250 OtMtg00390	KC967296;KC967296;KC967297;KC967297;KC967301;KC967301;		
S5PY67	S5PY67_OSTTA	atpB OtCpg00100	KC990831;KF285523;KF285525;		atpB
A0A1Y5I389	A0A1Y5I389_OSTTA	BE221DRAFT_79532 BE221DRAFT_82335	KZ155826;KZ155775;		
A0A1Y5I9X6	A0A1Y5I9X6_OSTTA	BE221DRAFT_164904 BE221DRAFT_171653	KZ155840;KZ155797;		
Q0P3I4	Q0P3I4_OSTTA	OtMtg00070	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00070	
A0A454XYS0	A0A454XYS0_OSTTA	BE221DRAFT_143826 BE221DRAFT_67604	KZ155772;KZ155772;		
S5QBS2	S5QBS2_OSTTA	psaA OtCpg00510	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		psaA
